movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Heat (1995),Action|Crime|Thriller
4,Sabrina (1995),Comedy|Romance
5,GoldenEye (1995),Action|Adventure|Thriller
6,Sense and Sensibility (1995),Drama|Romance
7,Casino (1995),Crime|Drama
8,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller
9,Babe (1995),Children|Drama
10,Apollo 13 (1995),Adventure|Drama|IMAX
11,Braveheart (1995),Action|Drama|War
12,Seven (1995),Mystery|Thriller
13,Clueless (1995),Comedy|Romance
14,Usual Suspects (1995),Crime|Mystery|Thriller
15,Pocahontas (1995),Animation|Children|Drama|Musical
16,Die Hard (1988),Action|Crime|Thriller
17,Matrix (1999),Action|Sci-Fi|Thriller
18,Shawshank Redemption (1994),Crime|Drama

