movieId,title,genres
1318447,Apex (2026),Action|Thriller
1226863,The Super Mario Galaxy Movie (2026),Family|Comedy|Adventure|Fantasy|Animation
1198994,Send Help (2026),Horror|Thriller|Comedy
10867,Malena (2000),Drama
936075,Michael (2026),Music|Drama
1523145,Your Heart Will Be Broken (2026),Romance|Drama
1292695,They Will Kill You (2026),Action|Comedy|Horror
1327819,Hoppers (2026),Adventure|Animation|Comedy|Family|Science Fiction
350,The Devil Wears Prada (2006),Drama|Comedy
1314481,The Devil Wears Prada 2 (2026),Comedy|Drama
83533,Avatar: Fire and Ash (2025),Science Fiction|Adventure|Fantasy
1613798,Vengeance (2026),Action|Thriller
687163,Project Hail Mary (2026),Science Fiction|Adventure
1297842,GOAT (2026),Animation|Comedy|Family
1290821,Shelter (2026),Action|Crime|Thriller
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle (2025),Animation|Action|Fantasy
1084242,Zootopia 2 (2025),Adventure|Animation|Comedy|Family|Mystery
440249,After Porn Ends 2 (2017),Documentary
1242898,Predator: Badlands (2025),Action|Science Fiction|Adventure
1171145,Crime 101 (2026),Crime|Thriller
